,lp_iterations,num_nodes,solving_time
0,9291.0,138.0,536.8139596169999
1,56549.0,1477.0,5708.895062636997
2,7354.0,69.0,263.545609141
3,16030.0,121.0,493.831717026
4,10661.0,175.0,717.9893069359997
5,6099.0,79.0,310.6304410089999
6,21169.0,544.0,2131.88631605
7,68459.0,1511.0,6007.397804768004
8,21995.0,535.0,2081.349190625999
9,22049.0,559.0,2169.661989189999
10,7679.0,87.0,335.01659479000006
11,24309.0,502.0,2006.1405122380006
12,13563.0,265.0,1031.9153959569999
13,3355.0,49.0,180.022827285
14,46226.0,911.0,3638.9017770150012
15,4769.0,112.0,463.652031181
16,16011.0,369.0,1449.7560265820007
17,8872.0,75.0,303.581078107
18,21511.0,425.0,1756.9315927529994
19,64016.0,2224.0,8963.079632417
20,135597.0,2843.0,13218.114787951996
21,26653.0,714.0,2894.5896514050014
22,28532.0,330.0,1295.2997252339997
23,25605.0,502.0,1993.8402245899995
24,8435.0,83.0,330.60845425499997
25,20426.0,571.0,2250.546701131999
26,5165.0,35.0,141.80928386800002
27,6448.0,74.0,292.070299937
28,12686.0,170.0,692.05612105
29,25929.0,600.0,2412.1247329679995
30,20225.0,413.0,1625.3860322629998
31,14413.0,250.0,999.0018947170003
32,9704.0,172.0,729.170311972
33,96565.0,2780.0,11301.76406227901
34,5503.0,55.0,213.46212766800005
35,21016.0,438.0,1747.0269215209996
36,13467.0,257.0,1044.6466228870001
37,46805.0,1172.0,4695.729263503999
38,14718.0,414.0,1643.6751004489997
39,44814.0,1058.0,4225.040091491999
40,50049.0,1175.0,4719.395573518007
41,43949.0,1380.0,5534.854942589993
42,48000.0,1099.0,4217.209767016004
43,36086.0,733.0,2909.860441272999
44,23420.0,540.0,2121.9438226279995
45,5038.0,57.0,212.962590814
46,212723.0,3439.0,17508.53494722399
47,26152.0,613.0,2310.814673542002
48,15184.0,357.0,1326.7348987419998
49,120690.0,3333.0,12554.916166746996
50,2595.0,17.0,62.458568164
51,2552.0,21.0,77.497395559
52,4996.0,57.0,218.10969050299997
53,20721.0,431.0,1665.7808621419993
54,30150.0,673.0,2710.5954140240005
55,13180.0,201.0,815.335888191
56,16852.0,284.0,1096.3273909820005
57,3643.0,37.0,139.08761988199998
58,66990.0,1370.0,5185.424700241
59,23561.0,620.0,2421.481417445996
60,6768.0,52.0,209.34468248800005
61,6229.0,65.0,244.057567486
62,12026.0,251.0,960.7012250789996
63,7354.0,101.0,383.990117236
64,5498.0,73.0,278.19656141100006
65,19130.0,373.0,1434.0084375170006
66,87031.0,2252.0,8921.338295719004
67,7023.0,57.0,242.09618580200004
68,6236.0,97.0,374.82743097099996
69,4518.0,33.0,132.221979784
70,52395.0,1656.0,6409.226997115
71,6255.0,113.0,446.32730425199986
72,25511.0,526.0,2042.5175167790012
73,6646.0,95.0,370.455541452
74,12680.0,126.0,505.01571229199993
75,39436.0,852.0,3452.0670683929984
76,9348.0,208.0,859.4562119239996
77,24382.0,493.0,1919.5155005779977
78,3769.0,43.0,165.045381163
79,11229.0,111.0,522.0377627089998
80,26284.0,904.0,3619.4733914189987
81,6405.0,69.0,264.63181925599997
82,30270.0,649.0,2700.2967422780025
83,98125.0,2449.0,9797.597670418005
84,2952.0,23.0,89.63247532999999
85,92705.0,2854.0,12087.722269887996
86,6050.0,45.0,173.66834809800002
87,4088.0,33.0,126.31524954099999
88,29763.0,394.0,1573.9279558029991
89,79228.0,2285.0,8900.244950931008
90,3693.0,15.0,76.99433386
91,17185.0,452.0,1828.199718617999
92,10913.0,133.0,532.269212788
93,61220.0,1908.0,7526.873380283982
94,3757.0,17.0,62.292569882
95,9645.0,179.0,697.8713122130001
96,46670.0,1038.0,4166.517119636
97,21006.0,359.0,1418.5812492550003
98,14350.0,367.0,1437.4423019150004
99,2508.0,17.0,61.811771064
100,26029.0,339.0,1375.3556132190008
101,6786.0,101.0,386.44375745699995
102,12184.0,185.0,733.8432567310003
103,9493.0,122.0,494.28427023900014
104,7658.0,105.0,417.127769185
105,21664.0,521.0,2119.042396603
