,lp_iterations,num_nodes,solving_time
0,71136.0,491.0,155.97090373000012
1,86771.0,723.0,235.24114576399984
2,113077.0,330.0,144.41356761000011
3,17940.0,45.0,17.079636018000002
4,96093.0,627.0,203.97122181099977
5,329266.0,3128.0,989.640021435
6,35379.0,109.0,45.57587727
7,14737.0,19.0,11.281490198000002
8,266828.0,2605.0,767.4666711730005
9,71243.0,281.0,118.57728086600004
10,92697.0,609.0,251.87921847299998
11,40083.0,155.0,65.748748913
12,23650.0,33.0,26.415358181000002
13,31925.0,189.0,87.980862718
14,23754.0,43.0,26.711629306
15,47229.0,89.0,50.47847837
16,107744.0,813.0,306.36611072600004
17,199403.0,1540.0,800.0300396779995
18,55832.0,321.0,147.528172367
19,97318.0,491.0,246.16547891500002
20,93530.0,583.0,322.9285771669998
21,48493.0,257.0,86.573274508
22,45903.0,221.0,88.35216897799998
23,39369.0,101.0,45.316109222
24,54981.0,187.0,85.031415305
25,13213.0,31.0,14.167016009
26,88068.0,639.0,258.421446074
27,87322.0,519.0,210.54060154899997
28,165735.0,1011.0,432.2020035000001
29,74052.0,463.0,168.10499559700003
30,47172.0,117.0,56.803099481
31,16946.0,29.0,13.863756267
32,79555.0,369.0,165.844344742
33,24963.0,63.0,32.022096289000004
34,37721.0,191.0,79.12871303300001
35,117128.0,712.0,281.3861032980003
36,119513.0,817.0,339.2335513950001
37,19415.0,51.0,20.813483557
38,38406.0,267.0,96.77568119400001
39,17057.0,43.0,17.211036505000003
40,27894.0,129.0,41.398696677
41,46007.0,79.0,40.616175164
42,384375.0,4070.0,1600.081092745998
43,17021.0,29.0,15.577704073000001
44,21285.0,19.0,17.562826514
45,20810.0,83.0,39.498899405
46,128515.0,456.0,208.79505272299977
47,132175.0,535.0,246.45028668400008
48,173353.0,1025.0,401.2380012760002
49,104351.0,657.0,308.16804023599974
50,20179.0,7.0,10.062515411
51,43760.0,163.0,70.460660068
52,71215.0,411.0,158.46013307000004
53,274668.0,1891.0,791.2561650300004
54,239252.0,1351.0,576.3552311380004
55,337482.0,2253.0,993.132931330999
56,790580.0,2052.0,1237.2766247559994
57,716802.0,4743.0,1729.452867543999
58,34350.0,38.0,34.386973433
59,41925.0,103.0,44.24582425299999
60,48406.0,319.0,116.74279058400003
61,23401.0,81.0,34.738010724
62,72490.0,724.0,263.500533734
63,16511.0,61.0,21.093652113
64,372130.0,2871.0,1181.4890462249996
65,75562.0,240.0,114.35731678800002
66,39548.0,99.0,37.94143221100001
67,28776.0,55.0,34.20402938899999
68,58030.0,353.0,144.88409785099998
69,52090.0,217.0,77.872590698
70,247989.0,2398.0,901.3231667180013
71,479244.0,2577.0,1109.105751009999
72,136724.0,578.0,251.13226296900004
73,19920.0,15.0,12.904835897000002
74,164111.0,757.0,353.61643108899983
75,58621.0,223.0,92.12662927800005
76,29685.0,93.0,33.20692150000001
77,76047.0,237.0,107.52554988600004
78,22415.0,15.0,10.420607299000002
79,62712.0,399.0,138.083480272
80,39973.0,157.0,68.12068075999998
81,76518.0,179.0,83.51936718200001
82,14405.0,21.0,10.177796150999999
83,204827.0,1578.0,563.5861329720001
84,154576.0,1051.0,374.2217406360001
85,32685.0,51.0,29.617733661999992
86,22411.0,71.0,28.924795752
87,57837.0,217.0,90.107293741
88,39437.0,93.0,48.666306098
89,78743.0,329.0,130.221457858
90,58515.0,243.0,95.26099034500002
91,45268.0,97.0,42.193954969999986
92,15374.0,17.0,10.014760503
93,81348.0,508.0,174.00024837700002
94,316948.0,2762.0,982.2418406570017
95,493884.0,2227.0,1000.8923777660002
96,115545.0,783.0,284.18652532599987
97,20248.0,15.0,11.828148800000001
98,78748.0,688.0,208.4761489820002
99,49580.0,81.0,38.81708512399999
